,1_iodate,2_iodate,3_iodate,4_iodate,5_iodate,6_iodate,7_iodate,8_iodate,9_iodate,10_iodate,11_iodate,12_iodate,13_iodate,14_iodate,15_iodate,16_iodate,17_iodate,18_iodate,19_iodate,20_iodate,21_iodate,22_iodate,23_iodate,24_iodate,25_iodate,26_iodate,27_iodate,28_iodate,29_iodate,30_iodate,31_iodate,32_iodate,33_iodate,34_iodate,35_iodate,36_iodate,37_iodate,38_iodate,39_iodate,40_iodate,41_iodate,42_iodate,43_iodate,44_iodate,45_iodate,1_nitrate,2_nitrate,3_nitrate,4_nitrate,5_nitrate,6_nitrate,7_nitrate,8_nitrate,9_nitrate,10_nitrate,11_nitrate,12_nitrate,13_nitrate,14_nitrate,15_nitrate,16_nitrate,17_nitrate,18_nitrate,19_nitrate,20_nitrate,21_nitrate,22_nitrate,23_nitrate,24_nitrate,25_nitrate,26_nitrate,27_nitrate,28_nitrate,29_nitrate,30_nitrate,31_nitrate,32_nitrate,33_nitrate,34_nitrate,35_nitrate,36_nitrate,37_nitrate,38_nitrate,39_nitrate,40_nitrate,41_nitrate,42_nitrate,43_nitrate,44_nitrate,45_nitrate,1_sulfate,2_sulfate,3_sulfate,4_sulfate,5_sulfate,6_sulfate,7_sulfate,8_sulfate,9_sulfate,10_sulfate,11_sulfate,12_sulfate,13_sulfate,14_sulfate,15_sulfate,16_sulfate,17_sulfate,18_sulfate,19_sulfate,20_sulfate,21_sulfate,22_sulfate,23_sulfate,24_sulfate,25_sulfate,26_sulfate,27_sulfate,28_sulfate,29_sulfate,30_sulfate,31_sulfate,32_sulfate,33_sulfate,34_sulfate,35_sulfate,36_sulfate,37_sulfate,38_sulfate,39_sulfate,40_sulfate,41_sulfate,42_sulfate,43_sulfate,44_sulfate,45_sulfate,1_iodide,2_iodide,3_iodide,4_iodide,5_iodide,6_iodide,7_iodide,8_iodide,9_iodide,10_iodide,11_iodide,12_iodide,13_iodide,14_iodide,15_iodide,16_iodide,17_iodide,18_iodide,19_iodide,20_iodide,21_iodide,22_iodide,23_iodide,24_iodide,25_iodide,26_iodide,27_iodide,28_iodide,29_iodide,30_iodide,31_iodide,32_iodide,33_iodide,34_iodide,35_iodide,36_iodide,37_iodide,38_iodide,39_iodide,40_iodide,41_iodide,42_iodide,43_iodide,44_iodide,45_iodide,1_perchlorate,2_perchlorate,3_perchlorate,4_perchlorate,5_perchlorate,6_perchlorate,7_perchlorate,8_perchlorate,9_perchlorate,10_perchlorate,11_perchlorate,12_perchlorate,13_perchlorate,14_perchlorate,15_perchlorate,16_perchlorate,17_perchlorate,18_perchlorate,19_perchlorate,20_perchlorate,21_perchlorate,22_perchlorate,23_perchlorate,24_perchlorate,25_perchlorate,26_perchlorate,27_perchlorate,28_perchlorate,29_perchlorate,30_perchlorate,31_perchlorate,32_perchlorate,33_perchlorate,34_perchlorate,35_perchlorate,36_perchlorate,37_perchlorate,38_perchlorate,39_perchlorate,40_perchlorate,41_perchlorate,42_perchlorate,43_perchlorate,44_perchlorate,45_perchlorate,1_Acetate,2_Acetate,3_Acetate,4_Acetate,5_Acetate,6_Acetate,7_Acetate,8_Acetate,9_Acetate,10_Acetate,11_Acetate,12_Acetate,13_Acetate,14_Acetate,15_Acetate,16_Acetate,17_Acetate,18_Acetate,19_Acetate,20_Acetate,21_Acetate,22_Acetate,23_Acetate,24_Acetate,25_Acetate,26_Acetate,27_Acetate,28_Acetate,29_Acetate,30_Acetate,31_Acetate,32_Acetate,33_Acetate,34_Acetate,35_Acetate,36_Acetate,37_Acetate,38_Acetate,39_Acetate,40_Acetate,41_Acetate,42_Acetate,43_Acetate,44_Acetate,45_Acetate
0,151.5746,292.2156,406.8785,2.4643,0,0,0,0,0,176.1044,166.7532,134.8725,171.3628,127.1694,294.6311,130.4066,188.5859,126.5311,225.0672,146.9023,129.1245,77.9348,202.0285,175.123,152.5635,197.5434,220.7852,7.9149,9.0953,154.6427,206.6056,147.0039,228.5512,162.1337,204.1798,247.8065,120.6649,176.9477,140.7076,284.6949,279.6969,159.011,225.63,197.3633,209.1273,4.4524,3.1106,3.4066,684.8389,554.4678,619.65335,3.3464,3.7236,3.8302,0,0,3.3473,3.4787,3.209,3.3681,3.5511,3.391,3.0196,661.8618,1043.7569,329.9338,704.9051,596.2741,806.1703,638.1216,628.7985,605.2207,0.2143,0.2835,2.8911,2.7727,3.1973,2.4155,2.3436,2.5347,3.2141,3.0296,2.4489,2.4551,2.4972,2.1934,2.3024,2.5348,2.157,2.1573,643.4167,617.7686,612.7076,617.3119,622.5129,619.9124,587.4234,564.9819,614.708,551.7261,569.5063,568.1498,540.3275,14.1178,558.1403,585.6606,570.0969,581.6904,572.8837,555.7934,575.2265,603.5366,572.1865,579.8973,545.1915,548.3737,588.8472,29.6237,31.8775,686.7633,593.4719,584.3673,571.5181,606.1207,597.4245,610.8885,605.9725,592.6233,631.8204,580.9002,607.5021,575.0843,583.72,589.789,657.2033,6.6713,4.9686,4.8943,0,0,0,0,0,0,0,0,2.4087,2.3741,0,5.0746,6.0994,1.9994,2.4133,0,7.5401,1.9161,2.3251,7.4926,3.856,5.1771,2.7874,6.7842,0,0.1495,3.7557,3.9659,4.0385,6.6762,4.4085,4.6933,3.7572,18.2053,19.5452,21.7006,19.2374,19.4894,17.6231,18.3312,19.3444,21.6243,0,0,0,0,0,0,762.7357,665.1943,948.8152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.9712,31.3317,673.4989,643.7635,598.734,672.0349,807.1055,1292.8545,167.9779,0,0,0,0,0,0,0,0,0,29.1411,33.9085,0,68.9791,73.6788,71.32895,74.2151,92.8326,95.0521,8729.8229,9211.0005,7570.1829,0,0,0,0,0,18.7381,8571.465,8637.1806,7251.4638,0,0,0,0,0,0,8191.9067,8778.384,9102.0668,0,0,0,0,0,0,8468.5825,8752.25,7584.9011,0,0,0,0,0,0
3,152.0267,291.0056,447.4042,0,0,0,0,0,0,157.7236,154.2422,125.074,182.4136,114.2697,175.3547,0,188.2897,0,0,107.7543,111.9488,57.0884,164.9658,18.2267,28.3822,159.7514,151.3803,148.4996,176.51,133.7142,213.0318,83.5718,129.3323,29.9676,0,115.8021,100.3078,62.8341,34.5442,156.6473,146.2875,78.0142,0,3.1592,1.839,41.1065,1.0718,1.044,0,142.9084,71.4542,0.9352,0,2.2413,0,0,0,0,0.8089,0.6171,1.4223,1.3143,0.9958,0.9511,1.1125,0,0.8046,0,0,1.5626,0.9125,0,0,0,0,1.6498,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,622.9601,624.9228,606.1195,617.1844,667.8779,642.53115,604.6022,698.378,728.4604,688.9124,692.9515,711.6401,71.9087,75.5207,336.022,656.0127,658.6227,648.2444,667.674,629.4156,685.1011,525.2276,528.6132,0.303,553.9482,570.8581,590.0499,624.3355,759.5398,715.0756,722.9975,2.5589,14.8441,0,0,0,0,0,0,6.7471,0,0,0,0,0,22.8913,26.3064,24.3127,0,0,0,0,0,3.683,43.2184,32.0636,47.5717,22.7549,22.6669,18.025,62.7964,56.0483,46.6506,46.8765,31.138,31.3816,15.1432,26.5686,3.0818,59.2317,41.2565,62.0496,26.0234,30.823,26.4488,19.92,24.2051,30.0478,63.1465,288.8793,56.6242,68.4992,83.2054,120.3254,54.8612,60.259,59.0148,0,4.9775,5.3191,0,0,0,0,0,0,713.5303,729.9551,990.4701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,764.3217,741.5415,713.0382,737.3245,712.2151,802.5364,973.3687,1585.7996,465.9743,0,0,0,0,0,0,0,0,0,43.1893,0,0,193.4484,53.0669,123.25765,52.3837,140.8988,173.0701,9134.0919,9502.2474,8699.5309,0,0,0,1187.8618,1338.5018,891.207,0,3237.1697,7644.2868,0,0,0,1175.2424,1236.3255,1106.9436,7800.6323,9982.1413,9260.1001,0,0,0,1144.5027,1601.9093,662.8345,8353.7652,8957.296,7185.0562,0,0,0,0,758.591,797.6448
4,2200.4186,2295.7584,2522.283,0,0,0,0,0,0,2236.0289,2337.185,2220.6126,2502.8661,2371.9978,2602.0973,3099.9973,2867.6604,3222.9689,2391.5364,2286.0031,2239.4785,2345.016,2565.2812,2747.3272,2968.7911,2930.4947,3008.9688,2406.1423,2259.4452,2315.844,2360.8773,2321.8831,2384.6432,2504.015,2506.0592,2663.7649,2241.0044,2201.9794,1748.0192,2789.1846,2479.5304,2427.5997,2828.8237,2742.8867,2488.5414,2.1753,39.8971,70.2671,20.4964,141.9237,81.21005,19.4687,2.9315,14.3761,2.0058,11.3856,11.2678,22.7208,36.7736,2.9695,11.2825,11.3544,10.757,11.2458,11.5096,11.2571,2.2686,27.6634,24.3866,11.6708,11.9962,11.5416,11.7221,10.0676,91.4005,1.2509,0.5167,1.0285,1.0277,1.0288,1.7896,11.261,11.6291,11.9306,23.6949,55.7473,22.6158,4.1018,1.2466,1.8566,568.379,562.2218,551.7444,561.5404,572.4838,567.0121,514.1267,575.2366,636.8734,620.9532,612.1037,606.013,604.88,613.5966,629.9728,608.0045,618.529,618.2831,600.2638,613.1349,598.6591,626.0191,625.4504,664.302,609.6738,599.0876,639.5322,645.9756,564.7885,555.4611,566.4889,582.5728,639.7503,555.3912,568.7278,565.448,564.4702,599.6235,612.6522,673.1389,594.6385,606.759,575.6919,567.5037,629.4477,35.2779,52.4239,37.2609,0,0,0,0,0,0,59.9423,43.7912,60.6641,33.1226,44.9418,51.6834,71.1823,258.7788,55.8493,35.448,93.4118,40.8314,42.2943,52.5327,49.3596,157.2981,159.8205,219.5634,40.1771,38.604,34.0168,29.7497,36.2228,40.8848,188.0197,233.1613,258.9197,84.9565,111.7098,206.6663,66.2894,73.9999,77.9715,108.768,143.2553,262.9881,0,0,0,0,0,0,596.2495,556.8462,755.5921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,773.8121,534.0613,525.1791,563.4106,533.844,618.8902,712.3782,1065.8844,348.4963,0,0,0,0,0,0,0,0,0,0,0,0,235.6379,24.4328,130.03535,46.0176,127.0868,300.6664,8915.5031,9116.9578,8252.6006,0,0,0,1244.5562,1485.741,1336.5514,7833.2202,8722.069,7354.8945,388.1452,0,0,1473.5534,1743.4471,1602.6737,8697.0831,7906.4227,7445.5716,0,0,0,1270.8232,1165.0077,1210.3488,7778.8888,8515.5172,6677.6152,0,0,0,1134.1781,913.7384,1064.7591
7,2254.8572,2333.6644,2622.902,2.661,0,0,0,0,0,2080.5693,2283.2898,2453.0908,2427.3586,2361.5878,2239.5387,2337.1195,2809.195,2741.0965,2222.8911,2050.6461,2164.7162,2139.6036,2183.4267,2288.0297,2414.4736,2436.319,2421.8043,2111.7325,2355.986,2496.2341,2390.7838,2405.609,2355.6047,2887.0014,2809.3561,2826.0608,2198.6885,2119.1176,1329.6309,2534.6941,2384.1982,2213.5879,3040.4545,3047.0126,2409.8547,18.6498,16.5301,38.6494,10.7943,134.5011,72.6477,14.5282,16.088,16.5398,3.1496,9.1169,2.8691,15.5875,30.4336,3.1027,12.7843,9.9303,16.3946,3.5803,7.8158,3.728,3.0115,12.345,11.3464,14.2094,28.0759,28.7656,3.4514,3.3981,3.2922,17.3689,19.0353,17.7641,17.7738,17.8311,2.8863,3.1944,8.6493,8.5385,14.5074,8.7859,29.7196,8.513,42.3979,12.2974,604.4178,587.2609,587.8941,602.5904,625.4166,614.0035,599.3691,629.7067,649.9723,596.0518,603.432,699.6716,594.5997,613.6207,538.3048,566.1659,598.9951,565.694,565.0953,576.4141,588.3997,549.1956,567.3148,585.2176,553.6111,544.8676,583.2423,575.6318,615.3789,620.9113,598.9101,632.8653,606.1519,606.4686,654.1319,606.6707,588.0576,602.9047,644.364,602.4604,616.8802,598.9117,611.37,596.1991,671.8169,57.3776,113.8381,57.4774,0,0,0,0,0,0,83.6822,62.5003,93.4264,52.9498,64.0193,52.3222,80.0989,327.5642,86.2907,53.9968,133.4894,63.597,52.8122,78.3163,59.8209,213.2963,275.6139,315.8069,61.4509,62.746,51.6084,45.2555,54.1349,65.1645,311.9188,299.511,403.0495,145.4897,164.7681,594.5117,88.3558,93.1612,100.2637,191.1787,262.1475,522.1118,0,0,0,0,0,0,649.5551,573.6241,636.3602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,704.37,600.3899,622.465,619.3202,625.8922,677.6936,790.5527,993.6522,394.3054,0,0,0,0,0,0,0,0,0,0,0,0,90.7843,25.7753,58.2798,34.7203,62.4002,6.4601,8022.9866,8685.8761,8962.4361,0,0,0,0,0,0,6887.2489,7508.7827,6379.9783,0,0,0,0,0,0,6729.4037,7594.8763,7554.7163,0,0,0,0,0,0,6306.2532,6157.9344,3417.6456,0,0,0,0,0,0
14,2313.3135,1769.4946,2619.4181,0,0,0,0,0,0,1972.2255,2124.3982,1999.9181,2299.0389,2360.5324,2298.9307,2400.6493,1921.7391,2341.6454,2153.4282,1949.2963,2097.2808,2074.6978,2201.8594,2235.9615,1940.4849,1790.9493,1905.7011,2215.5974,2385.0079,2289.9248,2154.032,2129.0408,2191.132,1772.6645,1992.0066,1958.7428,2168.8075,2006.4887,1217.4317,2472.9603,2454.1287,2150.6722,2283.8818,2145.0526,1589.1789,3.077,59.1392,40.5109,2.8015,100.1534,51.47745,20.2798,43.5353,6.5807,3.5193,2.4032,2.4474,2.3113,18.0329,2.8227,4.9361,2.7429,4.5915,3.1349,3.3042,3.9852,3.5555,4.1105,2.6277,2.3832,2.5292,2.5617,3.2025,6.061,2.6737,2.5928,13.8248,7.9549,2.812,2.5429,2.454,3.5187,2.3293,4.6208,5.6085,2.6595,2.7827,2.1192,2.8157,2.1305,619.752,611.071,601.2462,593.3567,619.5455,606.4511,586.828,629.3822,634.3269,576.1584,570.5545,579.4693,556.3752,607.5479,600.2199,581.554,588.9207,585.572,553.0172,571.8795,580.1323,576.4413,593.0914,608.8557,563.677,540.4323,601.4734,607.8657,787.8677,570.1129,585.3813,594.0662,603.5116,585.5344,607.9429,605.0544,595.6584,595.6838,647.5318,616.0721,627.7061,618.5911,639.7537,607.6852,662.5017,77.4537,556.4177,86.8702,0,0,0,0,0,0,114.0785,85.2226,108.4625,55.276,68.5125,73.1112,118.4992,387.3526,128.9622,81.9817,193.5745,96.9268,79.9494,104.8013,85.4957,259.1032,335.7327,385.7291,92.2821,81.9377,62.1249,51.972,55.3649,72.9286,340.8849,291.05,455.8294,195.0814,210.1077,663.3313,100.8744,105.6175,125.3613,235.4046,302.9071,649.1624,0,0,0,0,0,0,611.9576,494.6732,394.9133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,751.0757,590.8686,557.7887,587.2911,556.1803,636.583,732.1825,457.8783,381.7913,0,0,0,0,0,0,0,0,0,0,0,0,954.123,13.8214,483.9722,22.014,12.6678,13.2993,8605.4066,8821.5948,8038.8486,0,0,679.8584,1512.8118,1551.9285,1639.7028,7709.2318,8491.8347,7498.6866,3143.9497,1555.2748,2812.8207,1541.2771,1805.9752,1687.9435,8660.5212,9157.3905,8237.8529,1739.8921,318.2276,482.1889,1590.8827,850.1272,1635.8899,8688.6401,8922.9108,7080.9671,400.4274,0,1238.7636,1595.3175,1318.0212,1484.6932
