,1_iodate,2_iodate,3_iodate,4_iodate,5_iodate,6_iodate,7_iodate,8_iodate,9_iodate,10_iodate,11_iodate,12_iodate,13_iodate,14_iodate,15_iodate,16_iodate,17_iodate,18_iodate,19_iodate,20_iodate,21_iodate,22_iodate,23_iodate,24_iodate,25_iodate,26_iodate,27_iodate,28_iodate,29_iodate,30_iodate,31_iodate,32_iodate,33_iodate,34_iodate,35_iodate,36_iodate,37_iodate,38_iodate,39_iodate,40_iodate,41_iodate,42_iodate,43_iodate,44_iodate,45_iodate,1_nitrate,2_nitrate,3_nitrate,4_nitrate,5_nitrate,6_nitrate,7_nitrate,8_nitrate,9_nitrate,10_nitrate,11_nitrate,12_nitrate,13_nitrate,14_nitrate,15_nitrate,16_nitrate,17_nitrate,18_nitrate,19_nitrate,20_nitrate,21_nitrate,22_nitrate,23_nitrate,24_nitrate,25_nitrate,26_nitrate,27_nitrate,28_nitrate,29_nitrate,30_nitrate,31_nitrate,32_nitrate,33_nitrate,34_nitrate,35_nitrate,36_nitrate,37_nitrate,38_nitrate,39_nitrate,40_nitrate,41_nitrate,42_nitrate,43_nitrate,44_nitrate,45_nitrate,1_sulfate,2_sulfate,3_sulfate,4_sulfate,5_sulfate,6_sulfate,7_sulfate,8_sulfate,9_sulfate,10_sulfate,11_sulfate,12_sulfate,13_sulfate,14_sulfate,15_sulfate,16_sulfate,17_sulfate,18_sulfate,19_sulfate,20_sulfate,21_sulfate,22_sulfate,23_sulfate,24_sulfate,25_sulfate,26_sulfate,27_sulfate,28_sulfate,29_sulfate,30_sulfate,31_sulfate,32_sulfate,33_sulfate,34_sulfate,35_sulfate,36_sulfate,37_sulfate,38_sulfate,39_sulfate,40_sulfate,41_sulfate,42_sulfate,43_sulfate,44_sulfate,45_sulfate,1_iodide,2_iodide,3_iodide,4_iodide,5_iodide,6_iodide,7_iodide,8_iodide,9_iodide,10_iodide,11_iodide,12_iodide,13_iodide,14_iodide,15_iodide,16_iodide,17_iodide,18_iodide,19_iodide,20_iodide,21_iodide,22_iodide,23_iodide,24_iodide,25_iodide,26_iodide,27_iodide,28_iodide,29_iodide,30_iodide,31_iodide,32_iodide,33_iodide,34_iodide,35_iodide,36_iodide,37_iodide,38_iodide,39_iodide,40_iodide,41_iodide,42_iodide,43_iodide,44_iodide,45_iodide,1_perchlorate,2_perchlorate,3_perchlorate,4_perchlorate,5_perchlorate,6_perchlorate,7_perchlorate,8_perchlorate,9_perchlorate,10_perchlorate,11_perchlorate,12_perchlorate,13_perchlorate,14_perchlorate,15_perchlorate,16_perchlorate,17_perchlorate,18_perchlorate,19_perchlorate,20_perchlorate,21_perchlorate,22_perchlorate,23_perchlorate,24_perchlorate,25_perchlorate,26_perchlorate,27_perchlorate,28_perchlorate,29_perchlorate,30_perchlorate,31_perchlorate,32_perchlorate,33_perchlorate,34_perchlorate,35_perchlorate,36_perchlorate,37_perchlorate,38_perchlorate,39_perchlorate,40_perchlorate,41_perchlorate,42_perchlorate,43_perchlorate,44_perchlorate,45_perchlorate,1_Acetate,2_Acetate,3_Acetate,4_Acetate,5_Acetate,6_Acetate,7_Acetate,8_Acetate,9_Acetate,10_Acetate,11_Acetate,12_Acetate,13_Acetate,14_Acetate,15_Acetate,16_Acetate,17_Acetate,18_Acetate,19_Acetate,20_Acetate,21_Acetate,22_Acetate,23_Acetate,24_Acetate,25_Acetate,26_Acetate,27_Acetate,28_Acetate,29_Acetate,30_Acetate,31_Acetate,32_Acetate,33_Acetate,34_Acetate,35_Acetate,36_Acetate,37_Acetate,38_Acetate,39_Acetate,40_Acetate,41_Acetate,42_Acetate,43_Acetate,44_Acetate,45_Acetate
20,2287.1544,1709.12,2675.2214,0,0,0,0,0,0,2033.1078,2145.1594,1974.6736,2313.6593,2113.0769,1438.378742,2263.12246,1910.235756,2278.409557,2230.02468,1996.900648,2085.482324,1894.084048,2091.464167,2112.261405,1855.045986,1571.647015,1861.207785,2020.005393,2196.132865,2342.446204,2192.841551,1681.46822,1789.645272,1576.636457,1877.572834,1749.165149,1900.743352,0,1188.330889,2484.848441,2236.559776,1758.57803,1962.143405,1937.136014,1415.815419,13.4273,19.1586,16.1798,528.6657,29.6176,101.0215,172.4254,218.7446,17.9792,7.9552,233.9197,5.4474,69.682,14.4433,3.608816392,13.8722495,14.9846904,85.61478478,56.68923257,8.242401088,10.83415699,10.99408857,11.10974748,35.55374509,3.518282158,9.064497196,4.765266707,4.909032828,28.14493463,46.19043259,16.60785478,8.948291633,13.69798746,51.22040921,13.72381791,18.23810314,3.96765021,5.114854692,6.422470734,3.668127284,17.41350395,7.241534621,541.7950143,3.23879011,174.3720446,621.7817,613.0766,625.0695,652.649,655.1688,626.29325,597.4177,652.054,622.1021,600.442,590.6032,577.956,573.492,593.387,384.1826866,588.7066088,582.3184794,594.5391008,584.0012053,597.9701832,581.6473934,524.1975616,594.3996902,576.3561792,530.6219655,479.0837139,584.2207779,557.7443432,581.2612443,603.9070452,586.2669087,510.9439747,538.2973148,519.5275481,551.2086467,546.9507942,555.5507904,556.5707519,688.4127327,592.6297155,596.9256483,516.0200879,568.7093032,562.6370119,619.4602495,87.997,655.9014,105.3917,0,0,0,0,0,0,143.7347,107.1256,130.8893,66.9124,73.4323,59.72468791,152.9900867,423.6634635,161.4096285,98.45828479,244.43335,125.5195884,89.97165905,125.9723715,100.7099121,266.140127,311.9635109,416.5499795,93.29733134,93.40422421,78.5624082,59.24539148,51.28722692,74.18000743,327.9926934,292.283975,452.8005294,286.6966299,1966.090522,789.8522166,105.6013746,112.0647149,127.0036943,237.7983532,314.0970647,649.7847907,0,0,0,0,0,226.91415,453.8283,383.2985,272.2908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542.5423265,510.4841115,525.5647618,545.3794185,431.6972219,514.5214281,605.857094,0,310.0078097,0,0,0,0,0,0,0,0,0,0,0,0,952.9631,0,0,0,0,0,8287.783,8359.2547,7566.7305,0,0,628.9207808,891.3213865,1432.503243,1575.214778,7281.411378,8158.017233,6899.874228,2641.085435,2037.467283,2472.573593,1345.349326,1413.621797,1510.568717,7306.118288,8047.288948,7987.630798,2310.249163,0,47.41368342,1295.51867,0,1283.736309,7361.315753,6159.834861,6849.691755,0,0,1936.860413,1349.663555,1160.486535,1271.742901
28,2240.0522,1664.3974,2520.9263,0,0,0,0,0,0,1957.5239,2112.8011,1988.5973,2212.2275,2210.392,2334.6407,2290.0486,1908.4228,2235.7113,2184.821,1869.309,2090.5331,2094.7398,2161.9516,2291.4745,2004.2346,1817.9337,1966.6202,2175.0723,2099.2285,2295.5431,2064.1546,2074.5447,2144.2638,1716.3414,2050.7916,1839.0384,0,0,0,2526.3437,2328.366,2157.1945,2033.8308,2080.5855,1428.7594,5.13,36.941,3.9747,22.0374,13.8279,17.93265,4.4526,4.2958,10.6013,4.6303,5.0371,4.1683,3.9975,4.7959,3.7212,5.955,11.0735,3.4545,3.9183,3.5446,3.9549,10.1804,3.5478,9.0224,10.6726,10.6986,3.1693,3.8018,4.2963,7.6796,4.1346,10.6974,18.5175,3.3175,2.9841,8.6902,4.2385,3.7371,3.9171,3.9892,4.3878,4.0661,3.9754,2.8325,3.0866,645.7844,639.5094,622.1296,621.4806,644.9457,633.21315,626.5618,632.8893,659.6646,607.6756,595.4151,641.723,608.9449,641.9871,638.6209,625.2897,609.7124,625.0294,585.2192,611.5831,617.4425,605.0926,642.3453,646.9988,596.1432,605.2615,646.9246,624.3809,577.5186,596.9949,575.0386,602.2184,620.731,603.3989,621.9081,601.3607,616.384,642.6009,695.5304,667.1593,658.6198,662.3327,597.3794,627.5327,650.8306,102.5736,683.9964,118.8081,0,0,0,0,0,0,168.7413,125.9932,157.3871,77.8907,86.1392,121.0538,177.4614,455.3856,198.4793,105.7125,318.2512,159.6121,117.2193,157.4127,126.2651,297.3335,377.3968,472.3046,114.108,105.2943,90.7823,68.0228,62.6657,95.3978,386.4555,321.6646,516.174,2183.9955,2142.3156,1907.0228,131.9039,134.9904,191.0364,277.7771,407.4614,723.0864,0,0,0,0,0,0,522.8912,349.3444,271.8905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345.0249,496.1544,528.0992,527.2055,512.6336,584.8963,648.3707,0,193.9154,0,0,0,0,0,0,0,0,0,0,0,0,897.1045,0,448.55225,13.3907,0,6.1445,8474.9816,8649.3676,7992.5376,337.233,340.7033,1977.9799,1844.4004,1555.4413,1933.5876,7680.5977,8442.0753,7438.7688,3166.4443,2581.5212,2892.6992,1589.1156,1798.2886,1745.4256,8151.9886,8144.8363,8146.5718,2985.5458,1274.5836,732.1383,1560.8943,0,1487.9036,6768.3142,7360.4041,6029.1158,384.0303,570.9082,3169.0409,1545.3878,1399.7152,1470.9405
34,2239.4565,1574.2263,2492.4213,0,0,0,0,0,0,1919.6198,2112.6851,1940.2525,2214.7638,2059.7866,2164.2853,2110.7107,1795.8506,2085.701,2099.8522,1737.2637,2046.2949,1970.1645,2012.4195,2106.8745,1888.6772,1705.3472,1792.2378,2197.4729,2305.307,2352.2975,2132.0128,2102.0213,2183.9016,1743.0537,2149.0158,1912.3031,2099.4711,1840.8711,1851.6039,2420.8606,2220.7311,2061.4025,2206.5053,2021.1619,0,0,0,1.4354,1.3028,0.8597,1.08125,1.2191,1.1681,3.5126,0,0,0,0,2.2384,1.1309,2.3792,0,1.4805,0,0,0,2.1377,0.8965,1.1994,0,1.2038,0,2.2548,2.1169,0,1.2199,0,1.2655,1.9112,0,0,3.8444,0,1.8666,1.5905,0,0,0,3.0509,0,639.499,615.6844,612.2819,579.9024,628.5274,604.2149,628.5765,613.2261,669.4267,596.7155,611.7862,615.3859,606.5864,598.9552,593.9531,585.2603,588.5453,582.4951,584.0259,618.7832,603.4341,580.3625,612.1656,603.8303,555.4487,538.0749,608.6906,642.0109,644.5366,626.2461,589.7157,595.0429,627.6788,600.6733,634.318,645.74,629.1209,608.4247,653.732,635.8113,643.014,643.1552,645.2428,630.1464,643.3332,113.553,715.043,130.2445,0,0,0,0,0,0,185.6823,140.9757,173.7729,84.5845,91.1211,129.7232,180.0239,453.927,208.4124,134.4537,408.4965,179.3503,121.0392,167.7181,127.3715,292.5733,365.3254,457.2174,124.3947,128.4478,103.4289,79.921,67.7915,106.9059,422.7769,335.8771,581.6499,2253.2553,2131.5267,1829.1497,135.1005,137.4082,197.9456,324.5322,448.1993,2057.3678,0,0,0,0,0,0,446.9492,292.761,227.3414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288.6011,460.951,530.6537,543.9667,521.3739,600.3198,609.0375,0,22.9173,0,0,0,0,0,0,0,0,0,0,0,0,580.4358,19.2323,299.83405,15.1004,0,0,8246.3347,8493.6864,7643.3394,398.4909,320.8254,2340.2343,1739.8159,1414.4551,1762.7309,7322.4749,8149.9271,7183.3504,2891.554,2415.0843,2608.5956,1437.9702,1654.6519,1566.7597,7934.8448,8530.8353,8151.8233,3011.2205,2405.7837,1121.1078,1480.3557,0,1325.02,6878.762,7286.3292,5886.0925,348.1634,1027.6251,2947.4899,1614.4281,1347.2212,270.9645
41,2130.0688,1455.8569,2423.2794,0,0,0,0,0,0,2023.5011,2042.4602,1710.0115,2107.4394,2033.2447,2153.1763,1986.7675,1729.0976,1929.3686,1882.5946,1551.9687,1861.8257,1870.76,1869.5938,1995.8717,1785.8792,1627.7347,1604.6189,2021.1806,1708.5874,1956.5415,1830.7513,1794.179,1878.8078,1506.0512,1974.772,1698.1234,1644.2649,1682.1345,1637.6282,2278.7901,1934.9133,1838.9238,1988.01,1830.7826,0,1.7755,0,0.9266,1.6918,1.1755,1.43365,2.0027,56.5198,6.6884,2.2883,3.5711,5.6145,7.229,2.5281,2.7777,3.9968,0,6.0406,10.795,1.7467,3.7816,0,2.3644,15.771,7.4382,4.725,4.9276,0,2.486,4.8657,5.4082,0,1.9131,0,0,0,3.8605,5.3415,5.9432,2.5241,2.2538,4.6538,0,7.6492,0,612.8318,586.4516,593.337,544.9307,609.8357,577.3832,590.6411,610.9731,647.6694,641.2051,585.549,538.2072,583.6007,610.3941,613.0392,581.9639,583.9221,569.907,547.6577,590.8648,582.2174,554.0762,587.4177,582.1971,549.1876,535.2585,564.154,603.9228,481.9635,516.724,527.4275,527.5784,550.9981,554.1533,581.2891,603.839,546.854,579.2883,606.6168,610.8445,566.1742,584.1928,611.3432,599.675,633.1053,115.8461,623.5629,124.4824,0,0,0,0,0,0,197.561,136.9637,157.0097,77.0795,92.6976,133.7696,167.5451,431.3185,194.955,197.2825,422.926,171.955,115.3466,161.4542,118.6609,256.3883,323.1792,397.4044,108.7544,102.5968,86.0183,67.1479,57.0609,90.458,360.7618,279.3741,531.5343,3553.8947,3273.8939,3134.3209,130.6504,118.0159,172.6176,284.518,418.4731,1816.1562,0,0,0,0,0,0,473.5349,346.2516,194.8282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296.871,294.7773,488.3933,515.0336,492.4666,587.4676,539.0173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321.2662,26.2078,173.737,20.1307,28.8798,29.2996,9187.8684,8790.0301,7365.2777,813.5301,546.6947,2869.8334,1811.0534,1544.8021,1824.0123,7419.7539,8166.5544,7167.2618,3005.3636,2617.6719,2740.0851,1485.7458,1699.4518,1574.4044,7930.487,6973.7294,7380.4703,2866.8401,2678.8749,1283.4517,1438.8168,0,1351.1666,5395.9129,5970.3,4644.8195,603.4878,1150.3155,2922.0312,1627.435,1340.8963,2166.5579
48,2009.8497,1419.7151,2414.0944,0,0,0,0,0,0,1422.1182,1968.5141,1787.4414,2081.8785,1988.0129,2060.9181,1921.6566,1678.9005,1982.6721,1875.6203,1531.87,1920.2875,1817.6955,1893.6858,2049.1149,1799.402,1674.6924,1699.1757,1987.2803,2029.3721,2127.1953,2023.5507,1940.6658,2084.3853,1628.8073,1970.0122,1643.1605,0,0,0,2423.7069,2160.6262,1933.531,1792.0461,1672.3596,0,2.1227,1.3855,1.8685,3.8223,2.7463,3.2843,2.5214,2.0515,1.5953,1.7756,1.455,1.345,1.495,1.3443,1.9503,1.8632,1.345,1.8307,1.7072,2.109,1.4157,1.9861,2.0869,1.4027,11.6917,22.1916,1.8814,1.7379,2.4921,1.9581,1.2378,3.3758,1.3819,1.8983,2.2131,11.1326,1.6946,1.4749,2.1374,11.8523,11.2069,1.9902,2.0476,12.6583,2.0398,622.9605,619.4863,614.614,626.2566,653.388,639.8223,625.2884,590.1023,629.9948,592.2927,602.6838,605.4643,581.4492,594.9163,600.7012,594.0162,588.8481,611.2391,614.877,641.1075,609.5796,556.9661,615.539,601.227,569.5234,549.0359,620.2968,611.9888,588.6674,595.8999,593.5822,602.4653,610.3716,603.5724,603.7772,616.7926,607.6041,668.6721,657.765,669.8014,632.6392,622.7086,571.5797,574.8341,621.3421,148.0977,721.249,138.6437,0,0,0,0,0,0,467.6377,149.0988,185.8084,84.7559,91.8988,140.8502,180.5358,475.3299,220.9682,300.455,514.703,200.1603,124.0142,185.9092,131.4453,266.0952,341.5241,448.0544,111.7632,132.4129,99.3493,82.8646,71.011,112.0314,418.5928,291.9082,569.0271,5405.2704,5593.9085,4989.9812,157.0763,142.6695,193.8383,268.9434,429.8535,1734.393,0,0,0,0,0,0,388.411,256.3477,180.2204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.8035,276.343,486.7798,529.513,498.4096,601.4368,516.3588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.0115,33.1306,68.07105,0,0,0,8938.0585,9514.8124,8532.4453,2422.6395,609.7372,3126.7792,1014.0602,1648.9065,2011.6832,8505.0297,9358.4694,8116.6502,3198.022,2961.4374,2987.9911,1619.6651,1887.4771,1779.8349,8530.9511,8879.1864,8728.7196,3361.8268,3229.804,1894.7141,1601.8378,0,1425.8141,4879.3009,5815.9947,3669.8644,1413.07,1317.1186,3272.8564,1584.2169,1345.1325,2305.1351
63,2216.4756,1561.7991,2726.763,17.9578,0,8.9789,0,0,0,0,2405.076,2271.2235,2606.9015,2445.6336,2544.6704,2403.1146,0,2344.651,1998.1052,1828.037,2308.8882,2252.4274,2111.2235,2411.5113,2150.5598,2056.0694,2137.8574,2358.9862,2243.6969,2716.8578,2565.8445,2450.55,2663.0466,2073.0827,2428.9826,1890.7236,2611.4453,3274.4253,2479.1453,2999.2939,2758.779,2388.7847,2336.4355,2117.9668,16.1697,0,0,0,0,3.5214,1.7607,0,0,0,0,0,3.1814,0,0,0,0,0,0,0,0,3.9829,0,2.5288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,824.7798,824.2611,801.131,802.2943,841.0163,821.6553,816.1249,791.2155,831.3961,835.8154,797.8282,838.8192,789.3786,784.3182,805.1505,757.237,778.1089,781.9123,807.7581,831.216,790.1854,718.1621,730.5268,754.2728,696.2205,735.0361,827.1713,727.4797,683.8342,771.6943,781.5197,761.3069,824.6789,841.9023,851.9078,771.7087,716.2028,775.6021,685.8656,852.5165,840.7786,795.9661,749.1584,772.6811,805.3594,201.0891,926.9599,203.135,2.2908,0,1.1454,0,0,0,2309.695,252.1667,333.8843,128.823,130.7601,210.3774,230.347,2338.6427,334.5971,692.8802,763.6825,287.8127,183.3939,257.2869,176.3202,322.1855,466.2768,614.5471,134.4602,160.2031,132.5231,115.013,102.128,161.7919,567.545,393.3252,773.6945,7961.6008,7573.5592,7598.1485,281.1852,189.412,261.2482,353.6798,621.142,2340.1935,0,0,0,0,0,0,408.1815,275.8399,172.3855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240.6618,257.6475,604.9092,656.5594,622.5625,780.8511,627.5696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,2463.3223,1727.4012,2931.7531,18.7418,0,9.3709,0,0,0,0,2731.8243,0,2520.4171,2455.5259,2551.6853,2550.1457,0,2379.7721,1908.79,1379.6392,2198.1142,2208.9173,2092.7586,2754.0826,2523.8637,1264.632,1765.8913,2668.7341,2620.7528,2770.0117,2846.1795,2679.5243,2529.3908,1940.7025,2277.0611,1762.6154,0,0,0,2856.6617,2650.6289,2478.4647,2524.9634,2106.7522,0,2.5227,2.1827,0,0,2.3861,1.19305,0,2.9538,0,0,0,5.8681,0,2.8961,0,0,0,3.2452,0,0,0,0,2.468,0,0,0,0,0,0,2.6957,0,0,3.2786,6.6149,0,0,0,0,3.4638,3.1298,0,4.4109,0,0,0,815.0084,832.2677,836.0279,769.4,794.1689,781.78445,808.0391,918.6222,816.9281,897.6099,905.9442,877.3719,746.2806,801.2859,838.0989,783.4358,822.6728,858.3873,867.6401,784.754,795.8113,716.1559,798.0695,860.0153,819.0711,699.6277,0,832.2893,818.8874,796.7837,856.9178,844.2038,796.0418,780.5184,790.9994,802.1251,717.7839,852.7182,771.9176,864.6075,827.69,852.34,809.6562,810.2073,905.2059,244.489,1013.9012,300.812,3.2485,0,1.62425,0,0,0,2526.1177,378.2418,2443.1921,175.8958,212.8913,305.8615,267.2881,2523.5602,513.2353,960.3478,1063.1614,409.3825,261.9066,418.6436,264.0668,408.218,1038.3708,0,163.8052,267.2772,197.9984,155.8555,158.0429,206.846,584.5056,389.0864,995.6837,10119.7226,10838.8789,10245.9121,408.6207,248.8584,351.5685,399.6153,766.9582,2514.5658,0,0,0,0,0,0,298.3719,304.7656,145.9506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257.9941,119.2204,632.628,736.3135,697.5534,764.1479,529.2121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
